type	time	latitude	longitude	altitude (m)	name	desc
T	2013-11-12 12:53:15	50.379381000	-4.135775000	55.7	Gopro test over South Hams	
T	2013-11-12 12:53:16	50.379458000	-4.135858000	55.4		
T	2013-11-12 12:53:18	50.379626000	-4.136038000	54.4		
T	2013-11-12 12:53:30	50.379661000	-4.136040000	54.0		
T	2013-11-12 12:53:33	50.379641000	-4.135987000	54.4		
T	2013-11-12 12:53:39	50.379620000	-4.135943000	54.8		
T	2013-11-12 12:53:40	50.379604000	-4.135906000	55.0		
T	2013-11-12 12:53:42	50.379581000	-4.135835000	55.5		
T	2013-11-12 12:53:44	50.379553000	-4.135761000	55.8		
T	2013-11-12 12:53:45	50.379534000	-4.135718000	55.9		
T	2013-11-12 12:53:46	50.379518000	-4.135666000	56.1		
T	2013-11-12 12:53:47	50.379505000	-4.135606000	56.3		
T	2013-11-12 12:53:48	50.379489000	-4.135548000	56.5		
T	2013-11-12 12:53:49	50.379471000	-4.135491000	56.7		
T	2013-11-12 12:53:50	50.379456000	-4.135429000	57.0		
T	2013-11-12 12:53:51	50.379435000	-4.135357000	57.2		
T	2013-11-12 12:53:52	50.379413000	-4.135292000	57.5		
T	2013-11-12 12:53:53	50.379396000	-4.135231000	57.7		
T	2013-11-12 12:53:54	50.379377000	-4.135176000	57.9		
T	2013-11-12 12:53:55	50.379357000	-4.135115000	58.2		
T	2013-11-12 12:53:56	50.379334000	-4.135058000	58.4		
T	2013-11-12 12:53:57	50.379314000	-4.135001000	58.7		
T	2013-11-12 12:53:58	50.379295000	-4.134945000	58.9		
T	2013-11-12 12:53:59	50.379281000	-4.134882000	59.2		
T	2013-11-12 12:54:00	50.379257000	-4.134801000	59.5		
T	2013-11-12 12:54:01	50.379235000	-4.134716000	59.9		
T	2013-11-12 12:54:02	50.379218000	-4.134644000	60.2		
T	2013-11-12 12:54:03	50.379210000	-4.134590000	60.4		
T	2013-11-12 12:54:11	50.379204000	-4.134547000	60.5		
T	2013-11-12 12:54:13	50.379164000	-4.134550000	60.5		
T	2013-11-12 12:54:14	50.379126000	-4.134563000	60.6		
T	2013-11-12 12:54:15	50.379088000	-4.134584000	60.6		
T	2013-11-12 12:54:16	50.379053000	-4.134608000	60.5		
T	2013-11-12 12:54:17	50.379013000	-4.134636000	60.5		
T	2013-11-12 12:54:18	50.378962000	-4.134675000	60.3		
T	2013-11-12 12:54:19	50.378917000	-4.134714000	60.2		
T	2013-11-12 12:54:20	50.378866000	-4.134762000	60.0		
T	2013-11-12 12:54:21	50.378803000	-4.134822000	59.8		
T	2013-11-12 12:54:22	50.378754000	-4.134899000	59.5		
T	2013-11-12 12:54:23	50.378683000	-4.134960000	58.8		
T	2013-11-12 12:54:24	50.378604000	-4.135026000	58.0		
T	2013-11-12 12:54:25	50.378533000	-4.135074000	57.4		
T	2013-11-12 12:54:26	50.378479000	-4.135103000	57.0		
T	2013-11-12 12:54:27	50.378418000	-4.135124000	56.5		
T	2013-11-12 12:54:28	50.378372000	-4.135105000	56.3		
T	2013-11-12 12:54:29	50.378351000	-4.135044000	56.4		
T	2013-11-12 12:54:30	50.378347000	-4.134967000	56.7		
T	2013-11-12 12:54:31	50.378345000	-4.134887000	57.0		
T	2013-11-12 12:54:32	50.378341000	-4.134807000	57.2		
T	2013-11-12 12:54:33	50.378333000	-4.134730000	57.5		
T	2013-11-12 12:54:34	50.378325000	-4.134653000	57.7		
T	2013-11-12 12:54:35	50.378315000	-4.134575000	57.9		
T	2013-11-12 12:54:36	50.378306000	-4.134498000	57.9		
T	2013-11-12 12:54:37	50.378296000	-4.134425000	57.9		
T	2013-11-12 12:54:38	50.378281000	-4.134341000	57.9		
T	2013-11-12 12:54:39	50.378264000	-4.134247000	57.9		
T	2013-11-12 12:54:40	50.378246000	-4.134157000	57.9		
T	2013-11-12 12:54:41	50.378222000	-4.134064000	57.8		
T	2013-11-12 12:54:42	50.378198000	-4.133965000	57.8		
T	2013-11-12 12:54:43	50.378175000	-4.133857000	57.7		
T	2013-11-12 12:54:44	50.378156000	-4.133748000	57.7		
T	2013-11-12 12:54:45	50.378139000	-4.133649000	57.8		
T	2013-11-12 12:54:46	50.378123000	-4.133541000	57.8		
T	2013-11-12 12:54:47	50.378108000	-4.133440000	57.8		
T	2013-11-12 12:54:48	50.378093000	-4.133335000	57.9		
T	2013-11-12 12:54:49	50.378078000	-4.133229000	57.9		
T	2013-11-12 12:54:50	50.378065000	-4.133109000	58.0		
T	2013-11-12 12:54:51	50.378049000	-4.133000000	58.0		
T	2013-11-12 12:54:52	50.378036000	-4.132879000	58.0		
T	2013-11-12 12:54:53	50.378027000	-4.132753000	58.1		
T	2013-11-12 12:54:54	50.378017000	-4.132617000	58.2		
T	2013-11-12 12:54:55	50.378014000	-4.132487000	58.3		
T	2013-11-12 12:54:56	50.378014000	-4.132362000	58.4		
T	2013-11-12 12:54:57	50.378014000	-4.132240000	58.5		
T	2013-11-12 12:54:58	50.378017000	-4.132112000	58.7		
T	2013-11-12 12:54:59	50.378019000	-4.131992000	58.9		
T	2013-11-12 12:55:00	50.378019000	-4.131876000	59.2		
T	2013-11-12 12:55:01	50.378018000	-4.131755000	59.5		
T	2013-11-12 12:55:02	50.378014000	-4.131636000	59.7		
T	2013-11-12 12:55:03	50.378010000	-4.131527000	59.9		
T	2013-11-12 12:55:04	50.378009000	-4.131413000	60.2		
T	2013-11-12 12:55:05	50.378009000	-4.131289000	60.5		
T	2013-11-12 12:55:06	50.378012000	-4.131177000	60.6		
T	2013-11-12 12:55:07	50.378016000	-4.131074000	60.8		
T	2013-11-12 12:55:08	50.378021000	-4.130990000	60.9		
T	2013-11-12 12:55:09	50.378025000	-4.130919000	60.9		
T	2013-11-12 12:55:10	50.378027000	-4.130871000	61.0		
T	2013-11-12 12:55:12	50.378030000	-4.130807000	61.1		
T	2013-11-12 12:55:16	50.378016000	-4.130763000	61.0		
T	2013-11-12 12:55:17	50.377994000	-4.130726000	61.0		
T	2013-11-12 12:55:18	50.377964000	-4.130698000	60.9		
T	2013-11-12 12:55:19	50.377925000	-4.130695000	60.7		
T	2013-11-12 12:55:20	50.377894000	-4.130687000	60.6		
T	2013-11-12 12:55:21	50.377860000	-4.130681000	60.4		
T	2013-11-12 12:55:22	50.377814000	-4.130675000	60.2		
T	2013-11-12 12:55:23	50.377753000	-4.130667000	59.9		
T	2013-11-12 12:55:24	50.377691000	-4.130664000	59.6		
T	2013-11-12 12:55:25	50.377614000	-4.130660000	59.3		
T	2013-11-12 12:55:26	50.377533000	-4.130653000	58.9		
T	2013-11-12 12:55:27	50.377446000	-4.130641000	58.5		
T	2013-11-12 12:55:28	50.377355000	-4.130631000	58.0		
T	2013-11-12 12:55:29	50.377248000	-4.130617000	57.6		
T	2013-11-12 12:55:30	50.377144000	-4.130604000	57.1		
T	2013-11-12 12:55:31	50.377030000	-4.130594000	56.4		
T	2013-11-12 12:55:32	50.376909000	-4.130581000	55.4		
T	2013-11-12 12:55:33	50.376774000	-4.130569000	54.3		
T	2013-11-12 12:55:34	50.376633000	-4.130560000	53.1		
T	2013-11-12 12:55:35	50.376499000	-4.130549000	52.0		
T	2013-11-12 12:55:36	50.376356000	-4.130532000	50.9		
T	2013-11-12 12:55:37	50.376214000	-4.130516000	49.7		
T	2013-11-12 12:55:38	50.376078000	-4.130499000	48.6		
T	2013-11-12 12:55:39	50.375944000	-4.130476000	47.4		
T	2013-11-12 12:55:40	50.375803000	-4.130454000	46.2		
T	2013-11-12 12:55:41	50.375670000	-4.130429000	45.1		
T	2013-11-12 12:55:42	50.375549000	-4.130405000	44.1		
T	2013-11-12 12:55:43	50.375441000	-4.130386000	43.2		
T	2013-11-12 12:55:44	50.375340000	-4.130371000	42.4		
T	2013-11-12 12:55:45	50.375236000	-4.130363000	41.5		
T	2013-11-12 12:55:46	50.375150000	-4.130356000	40.7		
T	2013-11-12 12:55:47	50.375083000	-4.130347000	40.2		
T	2013-11-12 12:55:48	50.375030000	-4.130341000	39.7		
T	2013-11-12 12:55:49	50.374984000	-4.130334000	39.3		
T	2013-11-12 12:55:50	50.374945000	-4.130322000	39.0		
T	2013-11-12 12:55:51	50.374917000	-4.130307000	38.7		
T	2013-11-12 12:55:53	50.374874000	-4.130252000	38.3		
T	2013-11-12 12:56:12	50.374861000	-4.130228000	38.2		
T	2013-11-12 12:56:25	50.374847000	-4.130204000	38.0		
T	2013-11-12 12:56:26	50.374828000	-4.130170000	37.8		
T	2013-11-12 12:56:27	50.374760000	-4.130143000	37.2		
T	2013-11-12 12:56:28	50.374683000	-4.130110000	36.5		
T	2013-11-12 12:56:29	50.374598000	-4.130028000	35.7		
T	2013-11-12 12:56:30	50.374516000	-4.129945000	34.9		
T	2013-11-12 12:56:31	50.374446000	-4.129875000	34.4		
T	2013-11-12 12:56:32	50.374368000	-4.129803000	33.8		
T	2013-11-12 12:56:33	50.374282000	-4.129721000	33.2		
T	2013-11-12 12:56:34	50.374205000	-4.129644000	32.7		
T	2013-11-12 12:56:35	50.374144000	-4.129579000	32.4		
T	2013-11-12 12:56:36	50.374082000	-4.129517000	31.8		
T	2013-11-12 12:56:37	50.374030000	-4.129466000	31.4		
T	2013-11-12 12:56:38	50.373986000	-4.129421000	31.0		
T	2013-11-12 12:56:39	50.373955000	-4.129386000	30.7		
T	2013-11-12 12:56:40	50.373930000	-4.129353000	30.5		
T	2013-11-12 12:56:41	50.373902000	-4.129318000	30.2		
T	2013-11-12 12:56:42	50.373863000	-4.129268000	29.9		
T	2013-11-12 12:56:43	50.373809000	-4.129199000	29.4		
T	2013-11-12 12:56:44	50.373744000	-4.129127000	28.8		
T	2013-11-12 12:56:45	50.373680000	-4.129060000	28.0		
T	2013-11-12 12:56:46	50.373608000	-4.128985000	27.2		
T	2013-11-12 12:56:47	50.373537000	-4.128910000	26.3		
T	2013-11-12 12:56:48	50.373470000	-4.128837000	25.5		
T	2013-11-12 12:56:49	50.373409000	-4.128766000	24.8		
T	2013-11-12 12:56:50	50.373362000	-4.128714000	24.2		
T	2013-11-12 12:56:51	50.373327000	-4.128671000	23.7		
T	2013-11-12 12:56:52	50.373295000	-4.128626000	23.3		
T	2013-11-12 12:56:53	50.373275000	-4.128594000	23.1		
T	2013-11-12 12:56:54	50.373253000	-4.128555000	22.8		
T	2013-11-12 12:56:55	50.373221000	-4.128503000	22.3		
T	2013-11-12 12:56:56	50.373187000	-4.128456000	21.9		
T	2013-11-12 12:56:57	50.373145000	-4.128402000	21.4		
T	2013-11-12 12:56:58	50.373091000	-4.128338000	20.7		
T	2013-11-12 12:56:59	50.373025000	-4.128264000	19.9		
T	2013-11-12 12:57:00	50.372959000	-4.128190000	19.1		
T	2013-11-12 12:57:01	50.372894000	-4.128121000	18.3		
T	2013-11-12 12:57:02	50.372829000	-4.128051000	17.6		
T	2013-11-12 12:57:03	50.372760000	-4.127975000	16.8		
T	2013-11-12 12:57:04	50.372684000	-4.127892000	16.0		
T	2013-11-12 12:57:05	50.372604000	-4.127806000	15.3		
T	2013-11-12 12:57:06	50.372521000	-4.127716000	14.7		
T	2013-11-12 12:57:07	50.372435000	-4.127624000	14.0		
T	2013-11-12 12:57:08	50.372349000	-4.127533000	13.4		
T	2013-11-12 12:57:09	50.372261000	-4.127436000	12.8		
T	2013-11-12 12:57:10	50.372169000	-4.127334000	12.3		
T	2013-11-12 12:57:11	50.372083000	-4.127234000	11.8		
T	2013-11-12 12:57:12	50.372001000	-4.127139000	11.9		
T	2013-11-12 12:57:13	50.371920000	-4.127038000	12.1		
T	2013-11-12 12:57:14	50.371838000	-4.126940000	12.3		
T	2013-11-12 12:57:15	50.371754000	-4.126843000	12.6		
T	2013-11-12 12:57:16	50.371668000	-4.126748000	13.0		
T	2013-11-12 12:57:17	50.371585000	-4.126658000	13.4		
T	2013-11-12 12:57:18	50.371504000	-4.126570000	13.9		
T	2013-11-12 12:57:19	50.371422000	-4.126482000	14.4		
T	2013-11-12 12:57:20	50.371344000	-4.126390000	15.0		
T	2013-11-12 12:57:21	50.371280000	-4.126275000	15.8		
